import;4;16,67%
java;4;16,67%
io;2;8,33%
package;1;4,17%
ru;1;4,17%
DecimalFormat;1;4,17%
Recorder;1;4,17%
IOException;1;4,17%
nsu;1;4,17%
util;1;4,17%
public;1;4,17%
salina;1;4,17%
text;1;4,17%
BufferedOutputStream;1;4,17%
class;1;4,17%
